iteration,temps_calcul,temps_affichage,temps_iteration,longueur,discretisation,vent,start,nombre_de_processus,nombre_de_coeurs,accel_global,accel_temp
608,0.0,0.0,9.889751399983652,5,75,"(2, 3)","(50, 50)",6,5,2.537279683295834,
608,0.0,0.0,9.7518829999608,5,75,"(2, 3)","(50, 50)",8,7,2.5731507750991183,
704,0.0,0.0,43.38632150000194,5,100,"(1, 1)","(1, 50)",1,1,1.0,
704,0.0005037784576416,0.0,50.86421979998704,5,100,"(1, 1)","(1, 50)",2,1,0.8529831317694367,0.0
704,0.0,0.0,28.596883000049274,5,100,"(1, 1)","(1, 50)",4,3,1.5171695985162852,
704,0.0,0.0,20.54776739998488,5,100,"(1, 1)","(1, 50)",6,5,2.1114859174449223,
704,0.0010039806365966,0.0,17.974597799999174,5,100,"(1, 1)","(1, 50)",8,7,2.4137575695854476,0.0
704,0.0,0.0,44.274194700003136,5,100,"(1, 1)","(15, 10)",1,1,1.0,
704,0.0,0.0,75.25336400000378,5,100,"(1, 1)","(15, 10)",2,1,0.5883350902426223,
704,0.0005052089691162,0.0,52.03572240000358,5,100,"(1, 1)","(15, 10)",4,3,0.8508423186606917,0.0
704,0.001002550125122,0.0,32.310121799993794,5,100,"(1, 1)","(15, 10)",6,5,1.3702886969621897,0.0
704,0.0010383129119873,0.0,24.813541700015776,5,100,"(1, 1)","(15, 10)",8,7,1.7842755071104979,0.0
672,0.0,0.0,45.75974099995801,5,100,"(1, 1)","(37, 37)",1,1,1.0,
672,0.0,0.0,80.42341909999959,5,100,"(1, 1)","(37, 37)",2,1,0.5689852721016464,
608,0.0,0.0,47.437091700034216,5,100,"(1, 1)","(37, 37)",4,3,0.9646405241138551,
672,0.0,0.0,28.95625889999792,5,100,"(1, 1)","(37, 37)",6,5,1.5803057003320722,
672,0.0,0.0,23.590514899988197,5,100,"(1, 1)","(37, 37)",8,7,1.9397516838422593,
608,0.0,0.0,46.53609139996115,5,100,"(1, 1)","(50, 50)",1,1,1.0,
608,0.0,0.0,79.20499830000335,5,100,"(1, 1)","(50, 50)",2,1,0.5875398320658657,
608,0.0010030269622802,0.0,45.746476999949664,5,100,"(1, 1)","(50, 50)",4,3,1.0172606603129757,0.0
608,0.0010280609130859,0.0,28.303349900001194,5,100,"(1, 1)","(50, 50)",6,5,1.6441902306397727,0.0
608,0.0010228157043457,0.0,23.61041850002948,5,100,"(1, 1)","(50, 50)",8,7,1.970998159134835,0.0
704,0.0010020732879638,0.0,46.95945670001674,5,100,"(2, 3)","(1, 50)",1,1,1.0,1.0
704,0.0,0.0,79.26348669995787,5,100,"(2, 3)","(1, 50)",2,1,0.5924475272930644,inf
704,0.001509666442871,0.0,56.27669049997348,5,100,"(2, 3)","(1, 50)",4,3,0.8344388464001604,0.6637713202779499
704,0.0,0.0,35.262117100006435,5,100,"(2, 3)","(1, 50)",6,5,1.3317253914969323,inf
704,0.0,0.0,29.33333839999977,5,100,"(2, 3)","(1, 50)",8,7,1.6008902928013506,inf
704,0.0,0.0011718273162841,46.34144439996453,5,100,"(2, 3)","(15, 10)",1,1,1.0,
704,0.0,0.0,83.89471670001512,5,100,"(2, 3)","(15, 10)",2,1,0.5523761951025955,
704,0.0,0.0,51.77831709996099,5,100,"(2, 3)","(15, 10)",4,3,0.8949971145354094,
704,0.0,0.0,31.606774399988357,5,100,"(2, 3)","(15, 10)",6,5,1.4661870842467746,
704,0.0,0.0,26.87899739999557,5,100,"(2, 3)","(15, 10)",8,7,1.7240763749607777,
672,0.0,0.0,46.59657039999729,5,100,"(2, 3)","(37, 37)",1,1,1.0,
672,0.0,0.0,79.98039820004487,5,100,"(2, 3)","(37, 37)",2,1,0.582599880078756,
672,0.0,0.0,47.84218520001741,5,100,"(2, 3)","(37, 37)",4,3,0.9739640905863207,
672,0.0,0.0,29.252765399985947,5,100,"(2, 3)","(37, 37)",6,5,1.59289454391275,
